begin,end,origin
2001/08/13 06:30,2001/08/13 23:17,FP
2001/08/28 03:00,2001/08/30 14:00,FP
2001/08/30 19:38,2001/08/31 07:12,FP
2001/09/24 00:30,2001/09/24 17:00,FP
2001/10/27 02:46,2001/10/28 03:11,FP
2001/11/10 20:00,2001/11/11 08:42,FP
2001/12/12 09:00,2001/12/12 21:00,FP
2002/01/07 13:08,2002/01/10 01:00,FP
2002/01/11 07:24,2002/01/11 22:18,FP
2002/01/31 22:11,2002/02/02 22:46,FP
2002/03/14 13:22,2002/03/15 07:29,FP
2002/03/15 10:03,2002/03/15 19:25,FP
2002/03/21 17:26,2002/03/22 04:00,FP
2002/04/15 07:00,2002/04/16 06:37,FP
2002/05/30 07:00,2002/05/31 07:00,FP
2002/06/16 16:38,2002/06/17 00:24,FP
2002/06/19 10:00,2002/06/19 19:30,FP
2002/06/26 14:30,2002/06/28 18:53,FP
2002/09/03 04:22,2002/09/04 05:01,FP
2002/09/26 16:18,2002/09/29 17:00,FP
2002/10/03 05:00,2002/10/04 22:34,FP
2002/10/06 06:30,2002/10/07 11:00,FP
2002/11/10 08:33,2002/11/11 05:33,FP
2002/12/17 15:27,2002/12/19 03:45,FP
2003/01/11 08:00,2003/01/14 05:42,FP
2003/01/17 14:10,2003/01/17 23:54,FP
2003/02/13 00:07,2003/02/13 09:46,FP
2003/03/31 06:07,2003/04/01 14:07,FP
2003/04/28 19:02,2003/04/29 17:53,FP
2003/05/09 11:15,2003/05/11 05:34,FP
2003/05/30 01:30,2003/05/30 16:29,FP
2003/07/02 20:00,2003/07/03 10:00,FP
2003/07/06 20:00,2003/07/09 18:00,FP
2003/07/10 14:22,2003/07/11 17:53,FP
2003/07/14 17:55,2003/07/15 19:30,FP
2003/07/21 06:30,2003/07/23 04:00,FP
2003/09/01 07:05,2003/09/01 18:28,FP
2003/09/16 10:30,2003/09/16 19:00,FP
2003/09/30 13:37,2003/10/01 22:30,FP
2004/03/08 02:10,2004/03/09 22:30,FP
2004/04/30 23:19,2004/05/03 01:25,FP
2004/06/12 20:05,2004/06/14 14:52,FP
2004/06/25 14:30,2004/06/26 08:29,FP
2004/08/03 13:28,2004/08/04 10:00,FP
2004/08/07 13:30,2004/08/09 12:05,FP
2004/08/09 18:48,2004/08/11 10:20,FP
2004/08/16 19:57,2004/08/18 12:16,FP
2004/09/05 07:27,2004/09/05 22:00,FP
2004/12/25 13:05,2004/12/25 19:36,FP
2004/12/27 16:54,2004/12/29 03:49,FP
2005/03/16 14:35,2005/03/17 01:50,FP
2005/05/08 18:16,2005/05/11 02:42,FP
2005/08/02 11:51,2005/08/02 21:05,FP
2005/09/11 04:57,2005/09/12 05:51,FP
2005/11/23 06:00,2005/11/24 20:21,FP
2005/12/31 05:50,2006/01/01 13:25,FP
2006/04/14 13:48,2006/04/14 20:07,FP
2007/04/26 18:35,2007/04/27 03:12,FP
